Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Barbara Bel Geddes,ACTRESS IN A SUPPORTING ROLE,I Remember Mama,FALSE,1949,1922-10-31,New York City,Female,White,Straight,Na,http://www.nndb.com/people/925/000022859/
Ellen Corby,ACTRESS IN A SUPPORTING ROLE,I Remember Mama,FALSE,1949,1911-06-03,"Racine, WI",Female,White,Straight,Na,http://www.nndb.com/people/829/000109502/
Agnes Moorehead,ACTRESS IN A SUPPORTING ROLE,Johnny Belinda,FALSE,1949,1900-12-06,"Clinton, MA",Female,White,Matter of Dispute,Presbyterian,http://www.nndb.com/people/899/000078665/
Jean Simmons,ACTRESS IN A SUPPORTING ROLE,Hamlet,FALSE,1949,1929-01-31,"London, England",Female,White,Straight,Na,http://www.nndb.com/people/535/000032439/
Claire Trevor,ACTRESS IN A SUPPORTING ROLE,Key Largo,TRUE,1949,1910-03-08,New York City,Female,White,Straight,Na,/people/085/000063893/
Laurence Olivier,DIRECTING,Hamlet,FALSE,1949,1907-05-22,"Dorking, Surrey, England",Male,White,Bisexual,Na,/people/607/000022541/
Jean Negulesco,DIRECTING,Johnny Belinda,FALSE,1949,1900-02-26,"Craiova, Romania",Male,White,Straight,Na,http://www.nndb.com/people/811/000043682/
Fred Zinnemann,DIRECTING,The Search,FALSE,1949,1907-04-29,"Vienna, Austria",Male,White,Straight,Jewish,/people/538/000032442/
Anatole Litvak,DIRECTING,The Snake Pit,FALSE,1949,1902-05-10,"Kiev, Ukraine",Male,White,Straight,Jewish,http://www.nndb.com/people/314/000078080/
John Huston,DIRECTING,The Treasure of the Sierra Madre,TRUE,1949,1906-08-05,"Nevada, MO",Male,White,Straight,Agnostic,/people/704/000024632/
Broderick Crawford,ACTOR,All the King's Men,TRUE,1950,1911-12-09,"Philadelphia, PA",Male,White,Straight,Na,/people/744/000063555/
Kirk Douglas,ACTOR,Champion,FALSE,1950,1916-12-09,"Amsterdam, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/524/000024452/
Gregory Peck,ACTOR,Twelve O'Clock High,FALSE,1950,1916-04-05,"La Jolla, CA",Male,White,Straight,Roman Catholic,/people/774/000023705/
Richard Todd,ACTOR,The Hasty Heart,FALSE,1950,1919-06-11,"Dublin, Ireland",Male,White,Straight,Na,http://www.nndb.com/people/394/000110064/
John Wayne,ACTOR,Sands of Iwo Jima,FALSE,1950,1907-05-26,"Winterset, IA",Male,White,Straight,Roman Catholic,/people/605/000023536/
John Ireland,ACTOR IN A SUPPORTING ROLE,All the King's Men,FALSE,1950,1914-01-30,"Vancouver, British Columbia, Canada",Male,White,Straight,Na,http://www.nndb.com/people/499/000043370/
Dean Jagger,ACTOR IN A SUPPORTING ROLE,Twelve O'Clock High,TRUE,1950,1903-11-07,"Lima, OH",Male,White,Straight,Na,/people/121/000063929/
Arthur Kennedy,ACTOR IN A SUPPORTING ROLE,Champion,FALSE,1950,1914-02-17,"Worcester, MA",Male,White,Straight,Na,http://www.nndb.com/people/838/000110508/
Ralph Richardson,ACTOR IN A SUPPORTING ROLE,The Heiress,FALSE,1950,1902-12-19,"Cheltenham, Gloucestershire, England",Male,White,Straight,Roman Catholic,http://www.nndb.com/people/944/000091671/
James Whitmore,ACTOR IN A SUPPORTING ROLE,Battleground,FALSE,1950,1921-10-01,"White Plains, NY",Male,White,Straight,Na,http://www.nndb.com/people/876/000022810/
Jeanne Crain,ACTRESS,Pinky,FALSE,1950,1925-05-25,"Barstow, CA",Female,White,Straight,Roman Catholic,http://www.nndb.com/people/659/000030569/
Olivia de Havilland,ACTRESS,The Heiress,TRUE,1950,1916-07-01,"Tokyo, Japan",Female,White,Straight,Na,/people/741/000022675/
Susan Hayward,ACTRESS,My Foolish Heart,FALSE,1950,1918-06-30,"Brooklyn, NY",Female,White,Straight,Roman Catholic,/people/805/000063616/
Deborah Kerr,ACTRESS,"Edward, My Son",FALSE,1950,1921-09-30,"Helensburgh, Scotland",Female,White,Straight,Na,http://www.nndb.com/people/715/000025640/
Loretta Young,ACTRESS,Come to the Stable,FALSE,1950,1913-01-06,"Salt Lake City, UT",Female,White,Straight,Roman Catholic,/people/089/000031993/
Ethel Barrymore,ACTRESS IN A SUPPORTING ROLE,Pinky,FALSE,1950,1879-08-15,"Philadelphia, PA",Female,White,Straight,Roman Catholic,/people/743/000043614/
Celeste Holm,ACTRESS IN A SUPPORTING ROLE,Come to the Stable,FALSE,1950,1917-04-29,New York City,Female,White,Straight,Na,/people/084/000063892/
Elsa Lanchester,ACTRESS IN A SUPPORTING ROLE,Come to the Stable,FALSE,1950,1902-10-28,"Lewisham, London, England",Female,White,Straight,Atheist,http://www.nndb.com/people/885/000042759/
Mercedes McCambridge,ACTRESS IN A SUPPORTING ROLE,All the King's Men,TRUE,1950,1916-03-17,"Joliet, IL",Female,White,Straight,Roman Catholic,/people/086/000063894/
Ethel Waters,ACTRESS IN A SUPPORTING ROLE,Pinky,FALSE,1950,1896-10-31,"Chester, PA",Female,Black,Bisexual,Methodist,https://www.nndb.com/people/096/000023027/
Robert Rossen,DIRECTING,All the King's Men,FALSE,1950,1908-03-16,New York City,Male,White,Straight,Jewish,https://www.nndb.com/people/176/000135768/
William A. Wellman,DIRECTING,Battleground,FALSE,1950,1896-02-29,"Brookline, MA",Male,White,Straight,Na,http://www.nndb.com/people/736/000043607/
Carol Reed,DIRECTING,The Fallen Idol,FALSE,1950,1906-12-30,"London, England",Male,White,Straight,Na,/people/290/000064098/
William Wyler,DIRECTING,The Heiress,FALSE,1950,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",Male,White,Straight,Na,/people/463/000032367/
Joseph L. Mankiewicz,DIRECTING,A Letter to Three Wives,TRUE,1950,1909-02-11,"Wilkes-Barre, PA",Male,White,Straight,Jewish,/people/723/000032627/
